id;cnContent
80008;已经做好了准备，是时候再次出发，由谁来前进？
80009;我们需要进一步的探索这个未知的世界，由谁来领路？
80010;或许前方能为我们带来希望，谁能率领我们走向新世界？
80011;所有的一切已经准备就绪，也许是时候迈出前往探索的第一步，那么由谁来开启探索的旅程呢？
80012;命运已经做出了选择，踏向未知世界的第一步，该由谁开启？
80013;已经做好了准备，是时候再次出发，由谁来前进？
80014;我们需要进一步的探索这个未知的世界，由谁来领路？
80015;或许前方能为我们带来希望，谁能率领我们走向新世界？
80016;所有的一切已经准备就绪，也许是时候迈出前往探索的第一步，那么由谁来开启探索的旅程呢？
80017;命运已经做出了选择，踏向未知世界的第一步，该由谁开启？
80018;已经做好了准备，是时候再次出发，由谁来前进？
80019;我们需要进一步的探索这个未知的世界，由谁来领路？
80020;或许前方能为我们带来希望，谁能率领我们走向新世界？
90001;发现地点1-失败文本
90002;在迷雾中迷失了
90003;在迷雾中迷失了
90004;在迷雾中迷失了
90005;探索地点1-4-失败文本
90006;发现地点2-失败文本
90007;在草原中迷路了
90008;在草原中迷路了
90009;在草原中迷路了
90010;在草原中迷路了
90011;发现地点3-失败文本
90012;在小镇中流连忘返
90013;在小镇中流连忘返
90014;在小镇中流连忘返
90015;在小镇中流连忘返
90016;发现地点4-失败文本
90017;沉迷与石板，忘记了时间
90018;沉迷与石板，忘记了时间
90019;沉迷与石板，忘记了时间
90020;沉迷与石板，忘记了时间
100001;道路出现在我们的眼前，究竟该选择哪条？
61001;现在这里没有电视剧了，我们很失望
61002;现在这里也没有猫咪，什么都没有！
61003;现在这里没有电视剧了，我们很失望
61004;现在这里也没有猫咪，什么都没有！
61005;现在这里没有电视剧了，我们很失望
61006;现在这里也没有猫咪，什么都没有！
61007;现在这里没有电视剧了，我们很失望
61008;现在这里也没有猫咪，什么都没有！
61009;现在这里没有电视剧了，我们很失望
61010;现在这里也没有猫咪，什么都没有！
61011;现在这里没有电视剧了，我们很失望
61012;现在这里也没有猫咪，什么都没有！
61013;现在这里没有电视剧了，我们很失望
61014;现在这里也没有猫咪，什么都没有！
61015;现在这里没有电视剧了，我们很失望
61016;现在这里也没有猫咪，什么都没有！
31001;感谢你做出的牺牲，一切都是有价值的！
31002;感谢你做出的牺牲，一切都是有价值的！
31003;感谢你做出的牺牲，一切都是有价值的！
31004;感谢你做出的牺牲，一切都是有价值的！
31005;感谢你做出的牺牲，一切都是有价值的！
31006;感谢你做出的牺牲，一切都是有价值的！
31007;感谢你做出的牺牲，一切都是有价值的！
31008;感谢你做出的牺牲，一切都是有价值的！
31009;感谢你做出的牺牲，一切都是有价值的！
31010;感谢你做出的牺牲，一切都是有价值的！
31011;感谢你做出的牺牲，一切都是有价值的！
31012;感谢你做出的牺牲，一切都是有价值的！
32001;为了生存下去，我们需要节省一切能节省的东西。
32002;为了生存下去，我们需要节省一切能节省的东西。
32003;为了生存下去，我们需要节省一切能节省的东西。
32004;为了生存下去，我们需要节省一切能节省的东西。
32005;为了生存下去，我们需要节省一切能节省的东西。
32006;为了生存下去，我们需要节省一切能节省的东西。
32007;为了生存下去，我们需要节省一切能节省的东西。
32008;为了生存下去，我们需要节省一切能节省的东西。
32009;为了生存下去，我们需要节省一切能节省的东西。
32010;为了生存下去，我们需要节省一切能节省的东西。
32011;为了生存下去，我们需要节省一切能节省的东西。
32012;为了生存下去，我们需要节省一切能节省的东西。
41001;开门了，我们拿到了好东西
41002;开门了，我们拿到了好东西
41003;开门了，我们拿到了好东西
41004;开门了，我们拿到了好东西
41005;开门了，我们拿到了好东西
41006;开门了，我们拿到了好东西
41007;开门了，我们拿到了好东西
41008;开门了，我们拿到了好东西
42001;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42002;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42003;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42004;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42005;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42006;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42007;声音的来源太奇怪了，谁都不会贸然打开通道大门。
42008;声音的来源太奇怪了，谁都不会贸然打开通道大门。
51001;开门了，我们拿到了好东西
51002;开门了，我们拿到了好东西
51003;开门了，我们拿到了好东西
51004;开门了，我们拿到了好东西
51005;开门了，我们拿到了好东西
51006;开门了，我们拿到了好东西
51007;开门了，我们拿到了好东西
51008;开门了，我们拿到了好东西
52001;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52002;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52003;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52004;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52005;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52006;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52007;声音的来源太奇怪了，谁都不会贸然打开通道大门。
52008;声音的来源太奇怪了，谁都不会贸然打开通道大门。
71001;我们没有什么可以提供的
71002;我们没有什么可以提供的
71003;我们没有什么可以提供的
71004;我们没有什么可以提供的
71005;我们没有什么可以提供的
71006;我们没有什么可以提供的
71007;我们没有什么可以提供的
71008;我们没有什么可以提供的
71009;我们没有什么可以提供的
71010;我们没有什么可以提供的
71011;我们没有什么可以提供的
71012;我们没有什么可以提供的
71013;我们没有什么可以提供的
71014;我们没有什么可以提供的
71015;我们没有什么可以提供的
71016;我们没有什么可以提供的
71017;我们没有什么可以提供的
71018;我们没有什么可以提供的
71019;我们没有什么可以提供的
71020;我们没有什么可以提供的
71021;我们没有什么可以提供的
71022;我们没有什么可以提供的
71023;我们没有什么可以提供的
71024;我们没有什么可以提供的
71025;我们没有什么可以提供的
71026;我们没有什么可以提供的
71027;我们没有什么可以提供的
71028;我们没有什么可以提供的
71029;我们没有什么可以提供的
71030;我们没有什么可以提供的
71031;我们没有什么可以提供的
71032;我们没有什么可以提供的
72001;我们给出了道具x，对方很满意，向我们提供了
72002;我们给出了道具x，对方很满意，向我们提供了
72003;我们给出了道具x，对方很满意，向我们提供了
72004;我们给出了道具x，对方很满意，向我们提供了
72005;我们给出了道具x，对方很满意，向我们提供了
72006;我们给出了道具x，对方很满意，向我们提供了
72007;我们给出了道具x，对方很满意，向我们提供了
72008;我们给出了道具x，对方很满意，向我们提供了
72009;我们给出了道具x，对方很满意，向我们提供了
72010;我们给出了道具x，对方很满意，向我们提供了
72011;我们给出了道具x，对方很满意，向我们提供了
72012;我们给出了道具x，对方很满意，向我们提供了
72013;我们给出了道具x，对方很满意，向我们提供了
72014;我们给出了道具x，对方很满意，向我们提供了
72015;我们给出了道具x，对方很满意，向我们提供了
72016;我们给出了道具x，对方很满意，向我们提供了
72017;我们给出了道具x，对方很满意，向我们提供了
72018;我们给出了道具x，对方很满意，向我们提供了
72019;我们给出了道具x，对方很满意，向我们提供了
72020;我们给出了道具x，对方很满意，向我们提供了
72021;我们给出了道具x，对方很满意，向我们提供了
72022;我们给出了道具x，对方很满意，向我们提供了
72023;我们给出了道具x，对方很满意，向我们提供了
72024;我们给出了道具x，对方很满意，向我们提供了
72025;我们给出了道具x，对方很满意，向我们提供了
72026;我们给出了道具x，对方很满意，向我们提供了
72027;我们给出了道具x，对方很满意，向我们提供了
72028;我们给出了道具x，对方很满意，向我们提供了
72029;我们给出了道具x，对方很满意，向我们提供了
72030;我们给出了道具x，对方很满意，向我们提供了
72031;我们给出了道具x，对方很满意，向我们提供了
72032;我们给出了道具x，对方很满意，向我们提供了
73001;我们给出了道具Y，对方愿意交换，我们得到了
73002;我们给出了道具Y，对方愿意交换，我们得到了
73003;我们给出了道具Y，对方愿意交换，我们得到了
73004;我们给出了道具Y，对方愿意交换，我们得到了
73005;我们给出了道具Y，对方愿意交换，我们得到了
73006;我们给出了道具Y，对方愿意交换，我们得到了
73007;我们给出了道具Y，对方愿意交换，我们得到了
73008;我们给出了道具Y，对方愿意交换，我们得到了
73009;我们给出了道具Y，对方愿意交换，我们得到了
73010;我们给出了道具Y，对方愿意交换，我们得到了
73011;我们给出了道具Y，对方愿意交换，我们得到了
73012;我们给出了道具Y，对方愿意交换，我们得到了
73013;我们给出了道具Y，对方愿意交换，我们得到了
73014;我们给出了道具Y，对方愿意交换，我们得到了
73015;我们给出了道具Y，对方愿意交换，我们得到了
73016;我们给出了道具Y，对方愿意交换，我们得到了
73017;我们给出了道具Y，对方愿意交换，我们得到了
73018;我们给出了道具Y，对方愿意交换，我们得到了
73019;我们给出了道具Y，对方愿意交换，我们得到了
73020;我们给出了道具Y，对方愿意交换，我们得到了
73021;我们给出了道具Y，对方愿意交换，我们得到了
73022;我们给出了道具Y，对方愿意交换，我们得到了
73023;我们给出了道具Y，对方愿意交换，我们得到了
73024;我们给出了道具Y，对方愿意交换，我们得到了
73025;我们给出了道具Y，对方愿意交换，我们得到了
73026;我们给出了道具Y，对方愿意交换，我们得到了
73027;我们给出了道具Y，对方愿意交换，我们得到了
73028;我们给出了道具Y，对方愿意交换，我们得到了
73029;我们给出了道具Y，对方愿意交换，我们得到了
73030;我们给出了道具Y，对方愿意交换，我们得到了
73031;我们给出了道具Y，对方愿意交换，我们得到了
73032;我们给出了道具Y，对方愿意交换，我们得到了
74001;对方露出了为难的神情，也许他们不喜欢这个东西
74002;对方露出了为难的神情，也许他们不喜欢这个东西
74003;对方露出了为难的神情，也许他们不喜欢这个东西
74004;对方露出了为难的神情，也许他们不喜欢这个东西
74005;对方露出了为难的神情，也许他们不喜欢这个东西
74006;对方露出了为难的神情，也许他们不喜欢这个东西
74007;对方露出了为难的神情，也许他们不喜欢这个东西
74008;对方露出了为难的神情，也许他们不喜欢这个东西
74009;对方露出了为难的神情，也许他们不喜欢这个东西
74010;对方露出了为难的神情，也许他们不喜欢这个东西
74011;对方露出了为难的神情，也许他们不喜欢这个东西
74012;对方露出了为难的神情，也许他们不喜欢这个东西
74013;对方露出了为难的神情，也许他们不喜欢这个东西
74014;对方露出了为难的神情，也许他们不喜欢这个东西
74015;对方露出了为难的神情，也许他们不喜欢这个东西
74016;对方露出了为难的神情，也许他们不喜欢这个东西
74017;对方露出了为难的神情，也许他们不喜欢这个东西
74018;对方露出了为难的神情，也许他们不喜欢这个东西
74019;对方露出了为难的神情，也许他们不喜欢这个东西
74020;对方露出了为难的神情，也许他们不喜欢这个东西
74021;对方露出了为难的神情，也许他们不喜欢这个东西
74022;对方露出了为难的神情，也许他们不喜欢这个东西
74023;对方露出了为难的神情，也许他们不喜欢这个东西
74024;对方露出了为难的神情，也许他们不喜欢这个东西
74025;对方露出了为难的神情，也许他们不喜欢这个东西
74026;对方露出了为难的神情，也许他们不喜欢这个东西
74027;对方露出了为难的神情，也许他们不喜欢这个东西
74028;对方露出了为难的神情，也许他们不喜欢这个东西
74029;对方露出了为难的神情，也许他们不喜欢这个东西
74030;对方露出了为难的神情，也许他们不喜欢这个东西
74031;对方露出了为难的神情，也许他们不喜欢这个东西
74032;对方露出了为难的神情，也许他们不喜欢这个东西
81001;小镇隐藏在通道深处，浓雾笼罩，看不清天空，仿佛身处黄昏之中。小镇的街道狭窄而弯曲，仿佛是被邪恶力量扭曲的迷宫，引人迷失其中。房屋斑驳腐朽，窗户后透出幽深的黑暗，散发出一种说不清的阴森气息。
81002;遭遇爱德华，发现一个剪刀手怪人正在靠近一个女孩。是否救女孩？
81003;发现女孩和剪刀手怪人是旧相识，剪刀手怪人只想帮助这个女孩
81004;村民过来讨伐这个剪刀手怪人，需要一家人前往帮助
81005;我们没能阻止剪刀手怪人被讨伐
82005;我们帮助剪刀手怪人逃跑，但女孩被抓
83005;我们帮助剪刀手怪人和女孩一起逃跑
84005;我们帮助剪刀手怪人变得不再怪
81006;通道越走越开阔，终于看到出口，尽头通向一片辽阔的原野，远处隐约可见延绵起伏山脊。天空澄澈辽阔，仿佛抬手可触，又一望无际。天边传来未知野兽的鸣叫，又给这片原野带来了一丝神秘。
81007;发现一只受伤的幼龙
81008;幼龙被围攻，带着我飞向天空逃跑
81009;幼龙受了重伤，需要我们照顾
81010;失去照顾的幼龙，死掉了
82010;幼龙被照顾，但失去了飞行和喷火的能力
83010;幼龙被照顾，但失去了飞行的能力
84010;幼龙被照顾，我们和幼龙生活在这个世界。
81011;通道连接着一条幽暗僻静小路，路的两侧是交错缠绕且枝叶稀疏的树木，没有阳光透过，使得整个森林都笼罩在一片幽暗之中。再往深处走，一座小镇出现在眼前，镇内的街道干净整洁，房屋坐落有序。小镇的入口处，挂着一根绳子，绳子上悬挂着一排老化破损的鞋子。入口的牌子上，写着一行字：“入镇，请先挂鞋。”
81012;我发现了一个小镇，小镇欢迎外来者，我度过了相对愉快的时光。
81013;小镇的居民不允许离开小镇，我被困在了小镇内。
81014;探索小镇外面的世界，发现有通往我们回家的道路。
81015;被抓，无法离开小镇
82015;离开小镇，但饥饿且迷路
83015;离开小镇，但迷路
84015;离开小镇，回到了家
81016;通道的深处，矗立着一面黑色的石板，石板表面光滑，触摸起来似乎有些柔软，指尖传来一丝清凉。正当我对这个发现没有兴趣时，石板忽然将我吞没，一整片星空出现在我的视野里，我看到了我的星球，看到了我的家，看到了我的家人，看到了我自己。
81017;我发现了一块黑色的石板，四周是光秃秃的大地，脑袋的意识告诉我，我现在在月球，黑色的石板上绘制了图案，是水，或者是一片汪洋，接着是鱼和植物。石板发出信号，指向了一个未知的地方，而我意识到我下次来时，石板会带我走向指示的地方。
81018;我发现了一块黑色的石板，四周是席卷的风暴，但石板周围却十分平静。石板上绘制者图案，图案是一只猴子，猴子点燃了火焰，接着猴子在制造武器，猴子穿上了衣服。接着，石板变成了一面镜子，镜子中我看到了自己的模样。石板发射信号，指引到下个地方。
81019;我发现了一块黑色的石板，四周是滚烫翻涌的火焰，但石板周围却十分平静。石板上绘制者图案，图案是一枚火箭，接着是一片星空，星空中的星星不断增多，原来星星是飞船。飞船相互攻击，星星逐渐减少，头顶上传来呼啸的声音，一个东西落下，世界变得白茫茫一片。我回到现实，想要找到最后一块石板的线索。
81020;我们出现在月球之上，无法呼吸。
82020;我们出现在风暴中，狂风席卷，我们被撕扯着飞向了遥远的天空。
83020;我们出现在火焰当中，身躯被火焰笼罩，消失在了火焰中。
84020;第四面石板出现在我们面前，调查石板时，忽然一切都离我们而去，我们不自主被传送到无限远的地方。很久后，我们发现自己正处在一间布置华丽的房间里。我们正在以极快的速度老去，在躺在床上老死之前，我们看见巨大第四块石板出现在面前，而我们也已经转变成婴孩一般，飘浮在地球附近的太空凝望着数之不尽的群星。
101001;也许充满雾气的小镇藏着我们离开的秘密。
102001;终究还是辽阔的草原更加有吸引力。
103001;小镇有家的感觉。
104001;黑色的石板到底藏着什么秘密。
